Name,quant_12,quant_11,quant_2,quant_3,quant_4,quant_10,quant_1
Pmin_ref_seq_8686,2.482502,2.073955,3.143351,3.58094,2.434634,11.645253,3.133519
Pmin_ref_seq_8687,0.0,0.0,0.0,0.0,0.0,3.525383,3.594375
Pmin_ref_seq_8688,6.559491,8.041148,4.127611,12.148568,10.909215,8.307853,0.345852
Pmin_ref_seq_8689,5.744774,3.518229,28.3817,3.83287,2.91051,7.030719,18.553021
Pmin_ref_seq_8690,10.836129,9.563402,1.962078,6.324745,1.88894,3.932286,0.245978
Pmin_ref_seq_8691,7.488967,10.285223,0.104943,17.2616,14.03772,17.911184,2.664344
Pmin_ref_seq_8692,3.76428,4.145056,1.317566,3.758265,1.335715,7.470845,5.283096
Pmin_ref_seq_8693,0.254673,0.0,1.818475,0.90783,0.304438,2.990527,0.944415
Pmin_ref_seq_8694,0.094087,4.280618,2.010595,2.501018,4.626381,0.431839,4.007836
Pmin_ref_seq_8695,2.165622,0.032491,8.774611,9.9597,0.143855,2.74932,1.188858
Pmin_ref_seq_8696,2.854092,3.248664,9.352445,0.0,0.417605,0.399514,0.853971
Pmin_ref_seq_8697,0.0,4.580797,0.916175,0.89306,0.87132,1.084645,1.105107
Pmin_ref_seq_8698,0.913275,0.972619,0.006845,3.340953,0.613568,1.528976,0.035782
Pmin_ref_seq_8699,0.599713,1.009328,1.406477,1.607854,0.785182,2.466182,3.065392
Pmin_ref_seq_8700,5.319727,5.855773,28.577137,4.474805,2.927491,8.737721,12.068957
Pmin_ref_seq_8701,1.019967,0.565147,0.100936,2.438548,2.022214,2.216701,3.089488
Pmin_ref_seq_8702,0.37635,2.61238,12.927929,0.59671,0.205335,1.778866,7.162134
Pmin_ref_seq_8703,22.354396,11.585595,2.847886,33.436254,25.887307,57.367936,7.813659
Pmin_ref_seq_8704,0.440623,0.624197,2.823913,0.0,0.027885,1.446625,0.940962
Pmin_ref_seq_8705,1.651217,0.0,1.06536,0.457307,0.419493,0.452628,2.338396
Pmin_ref_seq_8706,13.021341,30.115641,15.602805,9.533979,13.120076,29.859372,16.328606
Pmin_ref_seq_8707,0.0,7.994768,11.926642,3.565278,1.303934,22.929614,1.763232
Pmin_ref_seq_8708,0.0,1.851675,1.019221,3.161458,3.907565,2.229779,0.723531
Pmin_ref_seq_8709,3.447259,2.767635,7.696807,1.184142,2.324197,3.585281,5.967098
Pmin_ref_seq_8710,0.0,1.761658,0.921273,0.0,0.155778,3.923469,1.784629
Pmin_ref_seq_8711,0.0,0.413997,5.15233,0.582951,0.593998,1.390385,0.071522
Pmin_ref_seq_8712,1.92547,0.44289,0.635824,2.133982,1.083853,4.366832,0.584128
Pmin_ref_seq_8713,0.0,1.49677,2.162354,0.868286,0.718815,2.998826,0.281174
Pmin_ref_seq_8714,11.240478,11.34854,5.127717,4.66481,2.804707,1.324794,0.0
Pmin_ref_seq_8715,0.635167,1.640825,2.493486,1.744301,1.39996,3.716994,1.837621
Pmin_ref_seq_8716,1.719815,0.544182,3.469834,3.356975,2.046614,0.838083,2.17787
Pmin_ref_seq_8717,0.653584,0.28551,2.52774,1.022717,0.401526,3.042049,1.995717
Pmin_ref_seq_8718,3.817055,2.54169,1.199615,8.200157,3.052594,6.297497,2.934922
Pmin_ref_seq_8719,3.69837,1.387696,1.132196,4.537218,4.583411,4.448198,1.823969
Pmin_ref_seq_8720,4.6861,10.313206,4.028942,4.537401,3.692984,14.19776,1.336999
Pmin_ref_seq_8721,8.548835,22.057762,15.315227,10.970118,10.894655,25.387233,5.16059
Pmin_ref_seq_8722,2.583663,4.888165,2.567996,0.379278,1.250959,10.493172,4.036799
Pmin_ref_seq_8723,0.165132,0.723808,6.454654,1.774952,2.052027,12.989635,3.452395
