Name,healthy_fem,infected_fem,healthy_male,infected_male
Pmin_ref_seq_319,0.0,1589.3794635,0.0,4661.4881255
Pmin_ref_seq_320,0.0,2.2308435,0.0,3.4379945000000003
Pmin_ref_seq_321,7.484189,9.6576895,10.170897,4.952907
Pmin_ref_seq_322,0.0,7.1756225,0.0,1.3425705
Pmin_ref_seq_323,0.0,3.3789265000000004,0.0,10.4030575
Pmin_ref_seq_324,0.0,4.7650015,0.0,8.027756
Pmin_ref_seq_325,0.0,18.1553045,0.0,28.5005605
Pmin_ref_seq_326,0.0,0.7178255,0.0,3.2012745
Pmin_ref_seq_327,0.0,2.2452425,0.0,5.1892425
Pmin_ref_seq_328,0.0,31.060112,0.0,87.60783599999999
Pmin_ref_seq_329,0.0,6.199183,0.0,6.007695
Pmin_ref_seq_330,0.0,12.2820605,0.0,0.1866025
Pmin_ref_seq_331,0.0,1.2415655,0.0,3.5758655
Pmin_ref_seq_332,0.288766,3.829595,0.9445335,1.2240285
Pmin_ref_seq_333,2.397218,11.204538,9.5007195,9.0299105
Pmin_ref_seq_334,18.848734,6.5064,17.565116500000002,4.2790105
Pmin_ref_seq_335,0.0,1.242989,0.0,2.0169645
Pmin_ref_seq_336,1.315817,2.5033095,2.284309,1.922941
Pmin_ref_seq_337,0.0,1.918725,0.0,4.846830499999999
Pmin_ref_seq_338,0.0,3.6074515,0.0,5.298289
Pmin_ref_seq_339,0.0,0.7834565,0.0,4.2676885
Pmin_ref_seq_340,0.0,6.957126,0.0,18.9284605
Pmin_ref_seq_341,2.939767,1.1878625,2.20759,0.7812509999999999
Pmin_ref_seq_342,0.0,7.346966500000001,0.0,18.9255565
Pmin_ref_seq_343,0.0,1.1094225,0.0,2.074488
Pmin_ref_seq_344,3.033405,4.3765350000000005,4.4597525000000005,3.0273665
Pmin_ref_seq_345,3.874531,3.722502,4.8789435,3.845581
Pmin_ref_seq_346,0.0,3.2707545,0.0,6.7148925
Pmin_ref_seq_347,0.0,3.991158,0.0,6.5758315
Pmin_ref_seq_348,0.0,12.4597,0.0,18.111392
Pmin_ref_seq_349,0.0,20.2917955,0.0,71.05168599999999
Pmin_ref_seq_350,0.0,0.0,0.0,5.7483505
Pmin_ref_seq_351,3.498501,4.539993000000001,4.8185575,3.8398635
Pmin_ref_seq_352,0.0,46.705337,0.0,182.2464745
Pmin_ref_seq_353,21.062793,20.097118,29.6942345,24.057725
Pmin_ref_seq_354,7.441962,13.641456,13.9903855,10.251927
Pmin_ref_seq_355,0.0,0.853656,0.0239955,3.7017705
Pmin_ref_seq_356,1.005048,1.1219455,2.250764,1.0711065
Pmin_ref_seq_357,0.750612,0.606114,2.6496005,1.563577
Pmin_ref_seq_358,3.387938,2.5900245,3.958524,12.8904915
Pmin_ref_seq_359,3.185306,11.338647,10.1101335,9.2813665
Pmin_ref_seq_360,0.0,13.3477545,0.0,16.0633095
Pmin_ref_seq_361,0.0,12.233101,0.0,19.198332
Pmin_ref_seq_362,0.0,2.8195845000000004,0.0,5.3424835
Pmin_ref_seq_363,0.0,1.158066,0.0,2.4630175000000003
Pmin_ref_seq_364,0.0,0.9001645,0.0,3.96037
Pmin_ref_seq_365,0.661912,0.272035,2.762954,0.5861465
